Al,"22/08/2025"
 
Ticker dell'emittente,Nome,Settore,Asset Class,Valore di mercato,Ponderazione (%),Valore nozionale,Nominale,Prezzo,Area Geografica,Cambio,Valuta di mercato
"L","LOBLAW COMPANIES LTD","Generi di largo consumo","Azionario","5.563.011,60","0,17","5.563.011,60","135.305,00","41,11","Canada","Toronto Stock Exchange","CAD"
"ORA","ORANGE SA","Comunicazione","Azionario","5.513.082,48","0,17","5.513.082,48","324.917,00","16,97","Francia","Nyse Euronext - Euronext Paris","EUR"
"7832","BANDAI NAMCO HOLDINGS INC","Consumi Discrezionali","Azionario","5.430.669,71","0,17","5.430.669,71","146.200,00","37,15","Giappone","Tokyo Stock Exchange","JPY"
"WEC","WEC ENERGY GROUP INC","Imprese di servizi di pubblica utilità","Azionario","5.117.878,08","0,16","5.117.878,08","47.152,00","108,54","Stati Uniti","New York Stock Exchange Inc.","USD"
"HOLN","HOLCIM LTD AG","Materiali","Azionario","5.116.404,84","0,16","5.116.404,84","61.155,00","83,66","Svizzera","SIX Swiss Exchange","CHF"
"ARGX","ARGENX","Salute","Azionario","5.049.645,24","0,15","5.049.645,24","7.619,00","662,77","Belgio","Nyse Euronext - Euronext Brussels","EUR"
"6702","FUJITSU LTD","IT","Azionario","5.020.486,87","0,15","5.020.486,87","205.200,00","24,47","Giappone","Tokyo Stock Exchange","JPY"
"SAAB B","SAAB CLASS B","Industriali","Azionario","4.989.728,87","0,15","4.989.728,87","91.544,00","54,51","Svezia","Nasdaq Omx Nordic","SEK"
"POLI","BANK HAPOALIM BM","Finanziari","Azionario","4.890.544,00","0,15","4.890.544,00","265.391,00","18,43","Israele","Tel Aviv Stock Exchange","ILS"
"HIG","HARTFORD INSURANCE GROUP INC","Finanziari","Azionario","4.844.152,90","0,15","4.844.152,90","36.145,00","134,02","Stati Uniti","New York Stock Exchange Inc.","USD"
"ALL","ALLSTATE CORP","Finanziari","Azionario","4.801.152,72","0,15","4.801.152,72","23.361,00","205,52","Stati Uniti","New York Stock Exchange Inc.","USD"
"CNP","CENTERPOINT ENERGY INC","Imprese di servizi di pubblica utilità","Azionario","4.743.921,80","0,15","4.743.921,80","124.676,00","38,05","Stati Uniti","New York Stock Exchange Inc.","USD"
"VRSK","VERISK ANALYTICS INC","Industriali","Azionario","4.705.872,66","0,14","4.705.872,66","17.361,00","271,06","Stati Uniti","NASDAQ","USD"
"ALL","ARISTOCRAT LEISURE LTD","Consumi Discrezionali","Azionario","4.695.102,49","0,14","4.695.102,49","102.061,00","46,00","Australia","Asx - All Markets","AUD"
"ICSUAGD","BLK ICS USD LIQ AGENCY DIS","Liquidità e/o derivati","Money Market","4.590.117,77","0,14","4.590.117,77","4.590.118,00","1,00","Irlanda","-","USD"
"TSCO","TESCO PLC","Generi di largo consumo","Azionario","4.498.849,83","0,14","4.498.849,83","780.306,00","5,77","Regno unito","London Stock Exchange","GBP"
"DSV","DSV","Industriali","Azionario","4.388.199,39","0,13","4.388.199,39","19.036,00","230,52","Danimarca","Omx Nordic Exchange Copenhagen A/S","DKK"
"VTR","VENTAS REIT INC","Immobili","Azionario","4.334.560,39","0,13","4.334.560,39","63.941,00","67,79","Stati Uniti","New York Stock Exchange Inc.","USD"
"9766","KONAMI GROUP CORP","Comunicazione","Azionario","4.326.747,47","0,13","4.326.747,47","26.100,00","165,78","Giappone","Tokyo Stock Exchange","JPY"
"CBRE","CBRE GROUP INC CLASS A","Immobili","Azionario","4.324.805,05","0,13","4.324.805,05","26.305,00","164,41","Stati Uniti","New York Stock Exchange Inc.","USD"
"FICO","FAIR ISAAC CORP","IT","Azionario","4.291.592,90","0,13","4.291.592,90","3.031,00","1.415,90","Stati Uniti","New York Stock Exchange Inc.","USD"
