Fund Holdings as of,"21/Aug/2025"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"CIMB","CIMB GROUP HOLDINGS","Financials","Equity","35,825,036.94","0.13","35,825,036.94","20,314,479.00","1.76","Malaysia","Bursa Malaysia","MYR"
"INDIGO","INTERGLOBE AVIATION LTD","Industrials","Equity","35,274,950.48","0.12","35,274,950.48","504,699.00","69.89","India","National Stock Exchange Of India","INR"
"012330","HYUNDAI MOBIS LTD","Consumer Discretionary","Equity","34,644,155.82","0.12","34,644,155.82","162,845.00","212.74","Korea (South)","Korea Exchange (Stock Market)","KRW"
"ETE","NATIONAL BANK OF GREECE SA","Financials","Equity","34,371,885.51","0.12","34,371,885.51","2,324,340.00","14.79","Greece","Athens Exchange S.A. Cash Market","EUR"
"MAYBANK","MALAYAN BANKING","Financials","Equity","34,199,788.38","0.12","34,199,788.38","14,772,700.00","2.32","Malaysia","Bursa Malaysia","MYR"
"9868","XPENG CLASS A INC","Consumer Discretionary","Equity","34,122,967.53","0.12","34,122,967.53","3,295,840.00","10.35","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"207940","SAMSUNG BIOLOGICS LTD","Health Care","Equity","34,019,755.43","0.12","34,019,755.43","46,778.00","727.26","Korea (South)","Korea Exchange (Stock Market)","KRW"
"9926","AKESO INC","Health Care","Equity","33,626,230.18","0.12","33,626,230.18","1,564,000.00","21.50","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"ADCB","ABU DHABI COMMERCIAL BANK","Financials","Equity","33,518,379.77","0.12","33,518,379.77","7,723,316.00","4.34","United Arab Emirates","Abu Dhabi Securities Exchange","AED"
"2423","KE HOLDINGS INC","Real Estate","Equity","33,364,283.44","0.12","33,364,283.44","5,549,280.00","6.01","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2601","CHINA PACIFIC INSURANCE (GROUP) LT","Financials","Equity","33,246,445.44","0.12","33,246,445.44","7,021,200.00","4.74","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"373220","LG ENERGY SOLUTION LTD","Industrials","Equity","33,068,964.53","0.12","33,068,964.53","124,144.00","266.38","Korea (South)","Korea Exchange (Stock Market)","KRW"
"PKN","ORLEN SA","Energy","Equity","33,037,828.10","0.12","33,037,828.10","1,453,724.00","22.73","Poland","Warsaw Stock Exchange/Equities/Main Market","PLN"
"2887","TAISHIN FINANCIAL HOLDING LTD","Financials","Equity","32,981,394.71","0.12","32,981,394.71","61,356,455.00","0.54","Taiwan","Taiwan Stock Exchange","TWD"
"1216","UNI-PRESIDENT ENTERPRISES CORP","Consumer Staples","Equity","32,795,203.49","0.12","32,795,203.49","12,860,736.00","2.55","Taiwan","Taiwan Stock Exchange","TWD"
"9633","NONGFU SPRING LTD H","Consumer Staples","Equity","32,318,705.90","0.11","32,318,705.90","5,461,400.00","5.92","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2383","ELITE MATERIAL LTD","Information Technology","Equity","31,694,602.50","0.11","31,694,602.50","782,985.00","40.48","Taiwan","Taiwan Stock Exchange","TWD"
"316140","WOORI FINANCIAL GROUP INC","Financials","Equity","31,594,160.76","0.11","31,594,160.76","1,781,503.00","17.73","Korea (South)","Korea Exchange (Stock Market)","KRW"
"MAXHEALTH","MAX HEALTHCARE INSTITUTE LTD","Health Care","Equity","30,982,207.22","0.11","30,982,207.22","2,162,680.00","14.33","India","National Stock Exchange Of India","INR"
"QIBK","QATAR ISLAMIC BANK","Financials","Equity","30,971,704.20","0.11","30,971,704.20","4,510,719.00","6.87","Qatar","Qatar Exchange","QAR"
"ASIANPAINT","ASIAN PAINTS LTD","Materials","Equity","30,855,707.50","0.11","30,855,707.50","1,049,064.00","29.41","India","National Stock Exchange Of India","INR"
"196170","ALTEOGEN INC","Health Care","Equity","30,741,910.76","0.11","30,741,910.76","106,016.00","289.97","Korea (South)","Korea Exchange (Kosdaq)","KRW"
"2885","YUANTA FINANCIAL HOLDING LTD","Financials","Equity","30,334,406.05","0.11","30,334,406.05","28,389,189.00","1.07","Taiwan","Taiwan Stock Exchange","TWD"
"TRENT","TRENT LTD","Consumer Discretionary","Equity","30,276,274.70","0.11","30,276,274.70","484,542.00","62.48","India","National Stock Exchange Of India","INR"
"3017","ASIA VITAL COMPONENTS LTD","Information Technology","Equity","30,215,888.49","0.11","30,215,888.49","877,973.00","34.42","Taiwan","Taiwan Stock Exchange","TWD"
"2892","FIRST FINANCIAL HOLDING LTD","Financials","Equity","29,725,536.10","0.10","29,725,536.10","31,111,878.00","0.96","Taiwan","Taiwan Stock Exchange","TWD"
