Fund Holdings as of,"22/Aug/2025"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"992","LENOVO GROUP LTD","Information Technology","Equity","6,088,074.13","0.15","6,088,074.13","4,433,457.00","1.37","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1093","CSPC PHARMACEUTICAL GROUP LTD","Health Care","Equity","6,075,995.39","0.15","6,075,995.39","4,517,280.00","1.35","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"ASIANPAINT","ASIAN PAINTS LTD","Materials","Equity","6,061,131.07","0.15","6,061,131.07","211,828.00","28.61","India","National Stock Exchange Of India","INR"
"3017","ASIA VITAL COMPONENTS LTD","Information Technology","Equity","6,058,229.59","0.15","6,058,229.59","180,000.00","33.66","Taiwan","Taiwan Stock Exchange","TWD"
"MAXHEALTH","MAX HEALTHCARE INSTITUTE LTD","Health Care","Equity","6,040,792.19","0.15","6,040,792.19","428,236.00","14.11","India","National Stock Exchange Of India","INR"
"3231","WISTRON CORP","Information Technology","Equity","5,965,428.23","0.15","5,965,428.23","1,630,000.00","3.66","Taiwan","Taiwan Stock Exchange","TWD"
"HINDALCO","HINDALCO INDUSTRIES LTD","Materials","Equity","5,944,915.07","0.15","5,944,915.07","738,925.00","8.05","India","National Stock Exchange Of India","INR"
"2892","FIRST FINANCIAL HOLDING LTD","Financials","Equity","5,903,156.72","0.15","5,903,156.72","6,283,628.00","0.94","Taiwan","Taiwan Stock Exchange","TWD"
"6669","WIWYNN CORPORATION CORP","Information Technology","Equity","5,822,958.53","0.14","5,822,958.53","60,000.00","97.05","Taiwan","Taiwan Stock Exchange","TWD"
"1177","SINO BIOPHARMACEUTICAL LTD","Health Care","Equity","5,818,163.38","0.14","5,818,163.38","5,564,500.00","1.05","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"JIOFIN","JIO FINANCIAL SERVICES LTD","Financials","Equity","5,712,823.43","0.14","5,712,823.43","1,559,689.00","3.66","India","National Stock Exchange Of India","INR"
"028260","SAMSUNG C&T CORP","Industrials","Equity","5,710,364.56","0.14","5,710,364.56","47,579.00","120.02","Korea (South)","Korea Exchange (Stock Market)","KRW"
"CIPLA","CIPLA LTD","Health Care","Equity","5,617,024.91","0.14","5,617,024.91","308,671.00","18.20","India","National Stock Exchange Of India","INR"
"HAL","HINDUSTAN AERONAUTICS LTD","Industrials","Equity","5,610,876.83","0.14","5,610,876.83","109,795.00","51.10","India","National Stock Exchange Of India","INR"
"051910","LG CHEM LTD","Materials","Equity","5,598,657.33","0.14","5,598,657.33","27,129.00","206.37","Korea (South)","Korea Exchange (Stock Market)","KRW"
"010140","SAMSUNG HEAVY INDUSTRIES LTD","Industrials","Equity","5,562,674.97","0.14","5,562,674.97","390,401.00","14.25","Korea (South)","Korea Exchange (Stock Market)","KRW"
"006400","SAMSUNG SDI LTD","Information Technology","Equity","5,558,778.78","0.14","5,558,778.78","35,852.00","155.05","Korea (South)","Korea Exchange (Stock Market)","KRW"
"SHFL","SHRIRAM FINANCE LTD","Financials","Equity","5,496,080.65","0.14","5,496,080.65","781,140.00","7.04","India","National Stock Exchange Of India","INR"
"TLKM","TELEKOMUNIKASI INDONESIA","Communication","Equity","5,422,399.76","0.13","5,422,399.76","27,346,300.00","0.20","Indonesia","Indonesia Stock Exchange","IDR"
"PTT.R","PTT NON-VOTING DR PCL","Energy","Equity","5,404,819.11","0.13","5,404,819.11","5,513,760.00","0.98","Thailand","Stock Exchange Of Thailand","THB"
"SBILIFE","SBI LIFE INSURANCE COMPANY LTD","Financials","Equity","5,348,338.46","0.13","5,348,338.46","251,820.00","21.24","India","National Stock Exchange Of India","INR"
"064350","HYUNDAI-ROTEM","Industrials","Equity","5,340,413.86","0.13","5,340,413.86","41,104.00","129.92","Korea (South)","Korea Exchange (Stock Market)","KRW"
"ADVANC.R","ADVANCED INFO SERVICE NON-VOTING D","Communication","Equity","5,325,527.31","0.13","5,325,527.31","597,429.00","8.91","Thailand","Stock Exchange Of Thailand","THB"
"000810","SAMSUNG FIRE & MARINE INSURANCE LT","Financials","Equity","5,306,329.87","0.13","5,306,329.87","16,687.00","317.99","Korea (South)","Korea Exchange (Stock Market)","KRW"
"033780","KT&G CORP","Consumer Staples","Equity","5,237,825.88","0.13","5,237,825.88","53,301.00","98.27","Korea (South)","Korea Exchange (Stock Market)","KRW"
"EICHERMOT","EICHER MOTORS LTD","Consumer Discretionary","Equity","5,196,821.17","0.13","5,196,821.17","76,778.00","67.69","India","National Stock Exchange Of India","INR"
"APOLLOHOSP","APOLLO HOSPITALS ENTERPRISE LTD","Health Care","Equity","5,166,850.78","0.13","5,166,850.78","57,084.00","90.51","India","National Stock Exchange Of India","INR"
"TECHM","TECH MAHINDRA LTD","Information Technology","Equity","5,082,735.96","0.13","5,082,735.96","295,605.00","17.19","India","National Stock Exchange Of India","INR"
"402340","SK SQUARE LTD","Industrials","Equity","5,075,832.01","0.13","5,075,832.01","52,302.00","97.05","Korea (South)","Korea Exchange (Stock Market)","KRW"
"9866","NIO CLASS A INC","Consumer Discretionary","Equity","5,047,005.08","0.13","5,047,005.08","861,807.00","5.86","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"TWD","TWD CASH","Cash and/or Derivatives","Cash","5,040,323.55","0.12","5,040,323.55","154,249,022.00","3.27","Taiwan","-","TWD"
"3661","ALCHIP TECHNOLOGIES LTD","Information Technology","Equity","5,003,680.03","0.12","5,003,680.03","41,498.00","120.58","Taiwan","Taiwan Stock Exchange","TWD"
"NESTLEIND","NESTLE INDIA LTD","Consumer Staples","Equity","4,993,406.87","0.12","4,993,406.87","375,842.00","13.29","India","National Stock Exchange Of India","INR"
"6618","JD HEALTH INTERNATIONAL INC","Consumer Staples","Equity","4,959,286.77","0.12","4,959,286.77","610,250.00","8.13","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"GRASIM","GRASIM INDUSTRIES LTD","Materials","Equity","4,927,258.23","0.12","4,927,258.23","153,272.00","32.15","India","National Stock Exchange Of India","INR"
"2301","LITE ON TECHNOLOGY CORP","Information Technology","Equity","4,909,156.88","0.12","4,909,156.88","1,211,572.00","4.05","Taiwan","Taiwan Stock Exchange","TWD"
"1378","CHINA HONGQIAO GROUP LTD","Materials","Equity","4,905,106.35","0.12","4,905,106.35","1,555,500.00","3.15","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"TVSMOTOR","TVS MOTOR COMPANY LTD","Consumer Discretionary","Equity","4,892,172.59","0.12","4,892,172.59","129,972.00","37.64","India","National Stock Exchange Of India","INR"
"BAJAJFINSV","BAJAJ FINSERV LTD","Financials","Equity","4,873,740.76","0.12","4,873,740.76","216,996.00","22.46","India","National Stock Exchange Of India","INR"
"ICT","INTERNATIONAL CONTAINER TERMINAL S","Industrials","Equity","4,859,043.03","0.12","4,859,043.03","565,020.00","8.60","Philippines","Philippine Stock Exchange Inc.","PHP"
"5880","TAIWAN COOPERATIVE FINANCIAL HOLDI","Financials","Equity","4,854,197.35","0.12","4,854,197.35","6,151,263.00","0.79","Taiwan","Taiwan Stock Exchange","TWD"
"HDFCLIFE","HDFC LIFE INSURANCE COMPANY LTD","Financials","Equity","4,847,813.42","0.12","4,847,813.42","537,969.00","9.01","India","National Stock Exchange Of India","INR"
