Ticker dell'emittente,Nome,Settore,Asset Class,Valore di mercato,Ponderazione (%),Valore nozionale,Nominale,Prezzo,Area Geografica,Cambio,Valuta di mercato
16,SUN HUNG KAI PROPERTIES LTD,Immobili,Azionario,"38.082.939,67",1.23,"38.082.939,67","3.711.500,00","10,26",Hong Kong,Hong Kong Exchanges And Clearing Ltd,HKD
NAB,NATIONAL AUSTRALIA BANK LTD,Finanziari,Azionario,"37.554.656,06",1.21,"37.554.656,06","1.595.841,00","23,53",Australia,Asx - All Markets,AUD
1113,CK ASSET HOLDINGS LTD,Immobili,Azionario,"37.465.641,19",1.21,"37.465.641,19","9.286.500,00","4,03",Hong Kong,Hong Kong Exchanges And Clearing Ltd,HKD
7261,MAZDA MOTOR CORP,Consumi Discrezionali,Azionario,"37.311.075,36",1.2,"37.311.075,36","6.379.200,00","5,85",Giappone,Tokyo Stock Exchange,JPY
IGG,IG GROUP HOLDINGS PLC,Finanziari,Azionario,"37.278.414,10",1.2,"37.278.414,10","2.801.305,00","13,31",Regno unito,London Stock Exchange,GBP
NWG,NATWEST GROUP PLC,Finanziari,Azionario,"36.084.424,94",1.16,"36.084.424,94","5.559.129,00","6,49",Regno unito,London Stock Exchange,GBP
BNP,BNP PARIBAS SA,Finanziari,Azionario,"35.826.551,64",1.15,"35.826.551,64","429.678,00","83,38",Francia,Nyse Euronext - Euronext Paris,EUR
C38U,CAPITALAND INTEGRATED COMMERCIAL T,Immobili,Azionario,"35.575.045,70",1.15,"35.575.045,70","23.731.854,00","1,50",Singapore,Singapore Exchange,SGD
HVN,HARVEY NORMAN HOLDINGS LTD,Consumi Discrezionali,Azionario,"35.238.759,93",1.14,"35.238.759,93","10.240.876,00","3,44",Australia,Asx - All Markets,AUD
SYDB,SYDBANK,Finanziari,Azionario,"34.743.179,70",1.12,"34.743.179,70","480.723,00","72,27",Danimarca,Omx Nordic Exchange Copenhagen A/S,DKK
D05,DBS GROUP HOLDINGS LTD,Finanziari,Azionario,"34.450.942,17",1.11,"34.450.942,17","1.017.702,00","33,85",Singapore,Singapore Exchange,SGD
RIO,RIO TINTO LTD,Materiali,Azionario,"33.988.878,67",1.1,"33.988.878,67","544.230,00","62,45",Australia,Asx - All Markets,AUD
SRG,SNAM,Imprese di servizi di pubblica utilità,Azionario,"33.952.703,51",1.09,"33.952.703,51","6.447.532,00","5,27",Italia,Borsa Italiana,EUR
ACA,CREDIT AGRICOLE SA,Finanziari,Azionario,"33.285.714,79",1.07,"33.285.714,79","1.951.669,00","17,06",Francia,Nyse Euronext - Euronext Paris,EUR
A17U,CAPITALAND ASCENDAS REIT,Immobili,Azionario,"32.992.336,74",1.06,"32.992.336,74","18.546.866,00","1,78",Singapore,Singapore Exchange,SGD
