Unnamed: 0,Name,ISIN,Country,Currency,Exchange,Type of Security,Rating,Primary Listing,Industry Classification,Weighting
431,PAN AMERICAN SILVER CORP,CA6979001089,Canada,CAD,Toronto Stock Exchange,Equity,-,S&P/TSX COMPOSITE Index,Materials,0.0005266409
432,KUBOTA CORP,JP3266400005,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Industrials,0.0005248521
433,BEIERSDORF AG,DE0005200000,Germany,EUR,XETRA,Equity,-,DAX Index,Consumer Staples,0.0005247045
434,ISRAEL DISCOUNT BANK A,IL0006912120,Israel,ILS,Tokyo Stock Exchange,Equity,-,TOPIX Index,Financials,0.0005221857
435,CARLSBERG AS B,DK0010181759,Denmark,DKK,Copenhagen Stock Exchange,Equity,-,OMX COPENHAGEN 20 Index,Consumer Staples,0.0005211725
436,PRO MEDICUS LTD,AU000000PME8,Australia,AUD,-,Equity,-,-,Health Care,0.0005192016
437,ANTOFAGASTA PLC,GB0000456144,Chile,GBP,London Stock Exchange,Equity,-,FTSE 100 Index,Materials,0.0005176583
438,ARC RESOURCES LTD,CA00208D4084,Canada,CAD,Toronto Stock Exchange,Equity,-,S&P/TSX COMPOSITE Index,Energy,0.0005154533
439,MITSUI OSK LINES LTD,JP3362700001,Japan,JPY,Tokyo Stock Exchange,Equity,Baa3,TOPIX Index,Industrials,0.0005131616
440,JAMES HARDIE INDUSTRIES CDI,AU000000JHX1,Ireland,AUD,Australian Stock Exchange,Depository Receipts,-,ASX All Ordinaries Index,Materials,0.0005120581
441,SWISS PRIME SITE REG,CH0008038389,Switzerland,CHF,Scoach Switzerland,Equity,-,Swiss Market Index,Real Estate,0.0005084716
442,COCA COLA HBC AG DI,CH0198251305,Switzerland,GBP,London Stock Exchange,Equity,Baa1,FTSE 100 Index,Consumer Staples,0.0005083101
443,CENTRICA PLC,GB00B033F229,United Kingdom,GBP,London Stock Exchange,Equity,A3,FTSE 100 Index,Utilities,0.0005073054
444,WESTON (GEORGE) LTD,CA9611485090,Canada,CAD,Toronto Stock Exchange,Equity,Baa2,S&P/TSX COMPOSITE Index,Consumer Staples,0.0005055687
445,SEGRO PLC,GB00B5ZN1N88,United Kingdom,GBP,London Stock Exchange,Real Estate Investment Trust,-,FTSE 100 Index,Real Estate,0.0005050543
446,BE SEMICONDUCTOR INDUSTRIES,NL0012866412,Netherlands,EUR,Euronext Amsterdam,Equity,-,Amsterdam Exchanges Index,Information Technology,0.0005039655
447,FRESENIUS MEDICAL CARE AG,DE0005785802,Germany,EUR,XETRA,Equity,Ba1,DAX Index,Health Care,0.000503641
448,TMX GROUP LTD,CA87262K1057,Canada,CAD,Toronto Stock Exchange,Equity,B1,S&P/TSX COMPOSITE Index,Financials,0.000503154
449,ROCHE HOLDING AG,CH0012032113,Switzerland,CHF,NASDAQ National Market System,Equity,-,Swiss Market Index,Health Care,0.0005029271
450,GREAT WEST LIFECO INC,CA39138C1068,Canada,CAD,Toronto Stock Exchange,Equity,A1,S&P/TSX COMPOSITE Index,Financials,0.0005014099
451,BALOISE HOLDING AG,CH0012410517,Switzerland,CHF,Scoach Switzerland,Equity,-,Swiss Market Index,Financials,0.0005001549
452,GEA GROUP AG,DE0006602006,Germany,EUR,XETRA,Equity,Baa3,DAX Index,Industrials,0.0004982638
453,HANG SENG BANK LTD,HK0011000095,Hong Kong,HKD,-,Equity,-,Hang Seng Index,Financials,0.0004974489
454,JAPAN EXCHANGE GROUP INC,JP3183200009,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Financials,0.000494696
455,SINGAPORE EXCHANGE LTD,SG1J26887955,Singapore,SGD,-,Equity,-,-,Financials,0.0004913398
456,ASR NEDERLAND NV,NL0011872643,Netherlands,EUR,Euronext Amsterdam,Equity,-,Amsterdam Exchanges Index,Financials,0.0004910762
457,SMITHS GROUP PLC,GB00B1WY2338,United Kingdom,GBP,London Stock Exchange,Equity,Baa2,FTSE 100 Index,Industrials,0.0004889572
458,POSTE ITALIANE SPA,IT0003796171,Italy,EUR,Milan Stock Exchange,Equity,-,FTSE Italia All-Share Index,Financials,0.0004889084
459,AGEAS SA,BE0974264930,Belgium,EUR,Euronext Brussels,Equity,-,BEL 20 Index,Financials,0.000488545
460,QIAGEN NV,NL0015002CX3,Netherlands,EUR,New York Stock Exchange,Equity,-,S&P 500 Index,Health Care,0.0004882378
461,EVOLUTION MINING LTD,AU000000EVN4,Australia,AUD,Australian Stock Exchange,Equity,-,ASX All Ordinaries Index,Materials,0.0004846311
462,UNITED UTILITIES GROUP PLC,GB00B39J2M42,United Kingdom,GBP,London Stock Exchange,Equity,-,FTSE 100 Index,Utilities,0.0004830695
463,OSAKA GAS CO LTD,JP3180400008,Japan,JPY,Tokyo Stock Exchange,Equity,Aa3,TOPIX Index,Utilities,0.0004827383
464,OBAYASHI CORP,JP3190000004,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Industrials,0.0004817941
465,GFL ENVIRONMENTAL INC SUB VT,CA36168Q1046,Canada,CAD,-,Equity,-,-,Industrials,0.0004811774
466,AEGON LTD,BMG0112X1056,Netherlands,EUR,Euronext Amsterdam,Equity,-,Amsterdam Exchanges Index,Financials,0.000477342
467,ELEMENT FLEET MANAGEMENT COR,CA2861812014,Canada,CAD,Toronto Stock Exchange,Equity,B1,S&P/TSX COMPOSITE Index,Industrials,0.0004755085
468,BUNZL PLC,GB00B0744B38,United Kingdom,GBP,London Stock Exchange,Equity,-,FTSE 100 Index,Industrials,0.0004749898
469,ASAHI KASEI CORP,JP3111200006,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Materials,0.0004740608
470,DAIWA SECURITIES GROUP INC,JP3502200003,Japan,JPY,Tokyo Stock Exchange,Equity,Baa3,TOPIX Index,Financials,0.000473153
471,TAISEI CORP,JP3443600006,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Industrials,0.0004729608
